variable,dtype,missing_pct,n_unique,top_level,top_level_pct
platelet_count_range,object,16.01,3,Normal (150k-400k /µL),85.92
creatinine_range,object,19.21,6,0.70-1.40 (Maschi),52.13
ast_got_range,object,16.75,2,Normal (<21 U/L),53.55
alt_gpt_range,object,16.75,2,Normal (<21 U/L),60.65
azotemia_range,object,42.36,3,1950-10-01 00:00:00,88.03
gamma_gt_range,object,47.29,3,0.9-1.4,47.66
total_bilirubin_range,object,22.17,3,0.2.-1.0,85.13
direct_bilirubin_range,object,27.34,2,>=0.2,58.64
albumin_range,object,46.06,3,Normal (3.6-4.9 g/dL),77.63
ejection_fraction_percent,float64,69.7,19,,
ejection_fraction_category,object,69.7,3,Preserved >=50%,94.31
death_date,object,76.11,90,2024-02-01,2.06
end_reason_progression_any_line,object,0.0,2,Absent / No,80.54
chemio_fine_tossicita,int64,0.0,2,,
end_reason_other_any_line,object,0.0,2,Absent / No,57.39
farmaci_cat_n,int64,0.0,11,,
cci_groups,object,66.75,19,['peripheral_vascular_disease'],28.15
cci_score,int64,0.0,5,,
n_treatment_lines,int64,0.0,4,,
total_chemo_cycles,float64,0.49,50,,
received_chemo,bool,0.0,2,,
treatment_duration_days,float64,0.49,281,,
any_dose_reduction,bool,0.0,2,,
any_toxicity,bool,0.0,2,,
end_due_to_progression,bool,0.0,2,,
max_combo_regimen_size,int64,0.0,5,,
total_unique_active_drugs,int64,0.0,10,,
time_from_diagnosis_to_first_treatment_days,float64,6.16,165,,
received_cardiotoxic_drug,bool,0.0,2,,
received_nephrotoxic_drug,bool,0.0,2,,
received_neurotoxic_drug,bool,0.0,2,,
received_hematotoxic_drug,bool,0.0,2,,
received_targeted_therapy,bool,0.0,2,,
n_unique_active_principles,float64,54.68,16,,
n_chronic_drugs,float64,54.68,1,,
polypharmacy_flag,object,54.68,3,No polypharmacy (0-4),50.0
chronic_polypharmacy_flag,object,54.68,1,No chronic polypharmacy (0-4),100.0
n_med_events,float64,54.68,51,,
medication_duration_days,float64,54.68,73,,
uses_antithrombotics,float64,54.68,2,,
uses_antidiabetics_atc,float64,54.68,2,,
uses_renin_angiotensin_drugs,float64,54.68,2,,
uses_diuretics,float64,54.68,2,,
uses_lipid_lowering_drugs,float64,54.68,2,,
uses_cardiovascular_drugs,float64,54.68,2,,
uses_metabolic_drugs,float64,54.68,2,,
uses_respiratory_drugs,float64,54.68,2,,
uses_cns_drugs,float64,54.68,2,,
uses_gastrointestinal_drugs,float64,54.68,2,,
uses_analgesic_drugs,float64,54.68,2,,
n_cardiovascular_drugs,float64,54.68,9,,
n_metabolic_drugs,float64,54.68,6,,
n_respiratory_drugs,float64,54.68,2,,
n_cns_drugs,float64,54.68,4,,
n_gastrointestinal_drugs,float64,54.68,5,,
n_analgesic_drugs,float64,54.68,4,,
phenotype,int64,0.0,2,,
